pack,file_count,total_bytes,promotion_recommendation,license_confidence,license_statuses,top_categories
occult-and-horror-elements-65dc9285a102,1,2177102,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
pastries-desserts-plates-and-cafe-food-830473b533f3,1,1554422,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
patch-1-c753f86136e7,1,1931777,hold_quarantine,needs_source_or_license_notes,,tileset:1
pillars-and-columns-0086c78b0bdc,1,1025490,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
pipes-cables-and-vents-3e137f4db3bf,1,1661906,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
plants-and-bushes-40568be64d66,1,1611918,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
plants-and-flowers-bee41c1c1d29,1,1678891,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
plants-and-greenery-691c047b4af8,1,2315481,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
plants-decor-jars-boxes-and-small-interior-props-ee0d745d7117,1,1300638,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
psychological-elements-1e8cb5dbe263,1,1931712,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
rocks-and-stones-6c4d3c43e8d0,1,1024154,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
rocks-and-stones-856181d9943b,1,1859599,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
roof-tiles-67d40569eebc,1,982810,hold_quarantine,needs_source_or_license_notes,,tileset:1
rooftop-and-building-tops-285823c85365,1,2327220,hold_quarantine,needs_source_or_license_notes,,ui:1
sakura-trees-afba66f7e83b,1,1863092,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
service-stations-and-counters-5e7a7aec0c97,1,1796536,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
shrine-gates-baaa6b380741,1,1852956,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
signage-menus-and-cafe-accessories-4f8a13220fed,1,1350268,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
signs-and-holograms-a9d18e25d9f4,1,2015319,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
signs-and-misc-32069ac0c125,1,1796979,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
skeletons-and-bones-35fdbb9ef507,1,1267722,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
special-effects-82458baf1d4f,1,2109718,hold_quarantine,needs_source_or_license_notes,,vfx:1
special-tiles-5a2d9a1eb8c5,1,1422632,hold_quarantine,needs_source_or_license_notes,,tileset:1
special-tiles-5a834c874ed3,1,2871856,hold_quarantine,needs_source_or_license_notes,,tileset:1
special-tiles-90790b94966e,1,2502283,hold_quarantine,needs_source_or_license_notes,,tileset:1
stairs-ladders-and-railings-a5897ee337d9,1,1814192,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
statues-and-figures-50a27ae8ab09,1,2061882,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
statues-and-gargoyles-3ff8106b905d,1,2718838,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
statues-and-monuments-50c4a3f458d7,1,1782647,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
stone-patchs-and-walkways-60144a816f81,1,1604149,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
stone-planers-and-raised-beds-3178a2f48757,1,1880389,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
streets-props-and-urban-bdf4390e8885,1,1638799,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
structures-and-columns-feb846dd54bb,1,2278578,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
tables-chairs-and-sitting-790da58f43a7,1,1250635,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
temple-building-parts-f653b224058c,1,1917574,hold_quarantine,needs_source_or_license_notes,,ui:1
traps-and-mechanism-82e5c19ea593,1,2133913,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
traps-and-mechanism-a661c46254bc,1,1797700,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
trees-and-vegetation-8958f27af80a,1,1997451,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
vehicles-and-transports-d4c17ab596b8,1,1996738,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
wall-and-floor-details-07299d26fcfb,1,1542183,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-and-floor-details-0af40a9f025a,1,1627989,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-and-floor-details-932fbd8a3571,1,1090327,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-and-floor-details-e9d53f8fa02a,1,2245467,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-tiles-41696c095bd6,1,2447799,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-tiles-6d2298023429,1,2228846,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-tiles-and-cliffs-00b0abab4f69,1,2362858,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-tiles-and-edges-28519664b778,1,1444427,hold_quarantine,needs_source_or_license_notes,,tileset:1
wall-tiles-and-edges-44044b997b86,1,1090177,hold_quarantine,needs_source_or_license_notes,,tileset:1
water-and-liquids-ef9988af64a4,1,2230765,hold_quarantine,needs_source_or_license_notes,,ui:1
water-and-ponds-50847365dc52,1,1883020,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
wooden-and-nature-props-79ee1e2540a5,1,1833216,hold_quarantine,needs_source_or_license_notes,,image_uncategorized:1
